"marketName","action","usdcAmount","tokenAmount","tokenName","timestamp","hash"
"Will the price of Ethereum be above $2,800 on January 23?","Sell","4.885","5","Yes","1769159960","0x4207e24d1aea8c56e56c2d23f2128d28116763bb2b9e8816125953e1535014f5"
"Will the price of Ethereum be above $2,900 on January 23?","Buy","3.65","5","Yes","1769159960","0xb993436f568316f4f88836f3ea5eb406105d7456224b92671c38a4eff3e2d340"
"Will the price of Bitcoin be above $86,000 on January 23?","Sell","4.96","5","Yes","1769159864","0xd384a7f61891706349d0be4951293712849a20c4be7a234576dfdf36c0a9d009"
"Will the price of Bitcoin be between $86,000 and $88,000 on January 23?","Buy","0.675","5","Yes","1769159864","0xd24ed6cefb598d4f01c670f1971717e2ddcb1de597719ff2720ec3cadc93986f"
"Will the price of Bitcoin be above $88,000 on January 23?","Buy","4.25","5","Yes","1769159864","0x49beeb6f41c7474ca5ab4566fcef6594de4fa549386ca8ae3833e7fca3c394c4"
"Will the price of Bitcoin be above $86,000 on January 23?","Split","5","5","","1769157650","0x0e7b930045292cca3d391bdf7ebf4e50c123f618ca47e73f9724a84955cb5729"
"Will the price of Bitcoin be above $88,000 on January 23?","Split","5","5","","1769157642","0x60e9863da5be061a5ee738c57d21857eb6f0853e143f8b68085542c0425a84c6"
"Will the price of Bitcoin be above $90,000 on January 23?","Split","5","5","","1769157634","0x9723d4853c5fb373c4cb5ce609ae61990662901b82572b8cba6d9c211a842160"
"Will the price of Bitcoin be above $92,000 on January 23?","Split","5","5","","1769157624","0x9a4a1b803158f1c9fc7dfcfc8510b57fdf78b862a25ae4045d3d7c45c128d981"
"Will the price of Bitcoin be between $86,000 and $88,000 on January 23?","Split","5","5","","1769157612","0x6069bc23b843f2bfd51c9bab3ac5e80ec7f1793d03e54a3440f3c487c1a59906"
"Will the price of Bitcoin be between $88,000 and $90,000 on January 23?","Split","5","5","","1769157602","0x359ef40e52e7a1bf4950e55878154ec82eef2a72145c20e6beb606c07bbdee6e"
"Will the price of Bitcoin be between $90,000 and $92,000 on January 23?","Split","5","5","","1769157592","0xa5730efa368c8c74c2e72a82abf7997252fb181daba059e9be768d063091d91c"
"Will the price of Ethereum be above $2,800 on January 23?","Split","5","5","","1769157582","0x3f7e15928494ef634f2dec5e554bd7918675d2111be2166b8acfd496cd5ed30e"
"Will the price of Ethereum be above $3,000 on January 23?","Split","5","5","","1769157562","0xa49c67fc5006e03210d59934f7205fae67e083e7d6ee5ac1623ed287b1e0538a"
"Will the price of Ethereum be above $3,100 on January 23?","Split","5","5","","1769157550","0xa9fb64ba3efca97a47edba318612a4cb8dee836d8a431416d6613cc9a059bfe3"
"Will the price of Ethereum be above $2,900 on January 23?","Split","5","5","","1769157534","0x6f0076c85d5607c626a9fbd238c411d1bffd54db0971074ea317c45ec0db425d"
"Will the price of Ethereum be between $3,000 and $3,100 on January 23?","Split","5","5","","1769157526","0x021cda882a660513979ccaea59b5b86763d0d118f1ae4072f9047a4b8ff240a1"
"Will the price of Ethereum be between $2,800 and $2,900 on January 23?","Split","5","5","","1769157490","0x098394cfba6b6dbed94a654d32504357011e2c9779027fc259af9772223dcec1"
"Will the price of Ethereum be between $2,900 and $3,000 on January 23?","Split","5","5","","1769157478","0x02d7ad114f2b3c803c69a73fa1d8f2003f3fb05736acf91d803430e1d6852a49"
"Bitcoin Up or Down - January 22, 8:00AM-12:00PM ET","Redeem","5","5","","1769101592","0x37ea7bcd6043ee415d2371ef512ff4808fd04ddd40b5f5f7cadfd0c9a24bd57d"
"Bitcoin Up or Down - January 22, 8:00AM-12:00PM ET","Buy","4.995","5","Down","1769101184","0x1139a89c165fbc5d273401264700300d739648c8640d247329ee6b5e173f715e"
"Will the price of Ethereum be above $2,900 on January 21?","Redeem","5","5","","1769061232","0x17d1805bc8de7130a2ba805a824b15ffe2b584a7afd28b353a677a356f5db596"
"Will the price of Ethereum be above $3,000 on January 21?","Redeem","5","5","","1769061232","0x17d1805bc8de7130a2ba805a824b15ffe2b584a7afd28b353a677a356f5db596"
"Will the price of Ethereum be between $3,000 and $3,100 on January 21?","Redeem","5","5","","1769061232","0x17d1805bc8de7130a2ba805a824b15ffe2b584a7afd28b353a677a356f5db596"
"Will the price of Bitcoin be above $88,000 on January 21?","Redeem","5","5","","1769061232","0x17d1805bc8de7130a2ba805a824b15ffe2b584a7afd28b353a677a356f5db596"
"Will the price of Ethereum be between $2,900 and $3,000 on January 21?","Redeem","5","5","","1769061232","0x17d1805bc8de7130a2ba805a824b15ffe2b584a7afd28b353a677a356f5db596"
"Will the price of Ethereum be above $3,100 on January 21?","Redeem","5","5","","1769061232","0x17d1805bc8de7130a2ba805a824b15ffe2b584a7afd28b353a677a356f5db596"
